date,country,users,frac
2021-12-27,ru,36346,83
2021-12-28,ru,37086,84
2021-12-29,ru,36549,81
2021-12-30,ru,37017,87
2021-12-31,ru,36936,83
2022-01-01,ru,38469,76
2022-01-02,ru,39559,80
2022-01-03,ru,40338,84
2022-01-04,ru,40720,83
2022-01-05,ru,42146,77
2022-01-06,ru,39864,83
2022-01-07,ru,39526,84
2022-01-08,ru,39817,84
2022-01-09,ru,39262,83
2022-01-10,ru,36187,85
2022-01-11,ru,31513,83
2022-01-12,ru,33437,88
2022-01-13,ru,34816,85
2022-01-14,ru,35431,85
2022-01-15,ru,36428,84
2022-01-16,ru,36741,80
2022-01-17,ru,33493,87
2022-01-18,ru,32427,89
2022-01-19,ru,32469,90
2022-01-20,ru,33213,88
2022-01-21,ru,35466,84
2022-01-22,ru,35774,84
2022-01-23,ru,35447,77
2022-01-24,ru,36218,86
2022-01-25,ru,34596,86
2022-01-26,ru,29842,86
2022-01-27,ru,27254,90
2022-01-28,ru,27176,93
2022-01-29,ru,28884,91
2022-01-30,ru,30410,89
2022-01-31,ru,29510,88
2022-02-01,ru,31180,85
2022-02-02,ru,27856,94
2022-02-03,ru,28035,91
2022-02-04,ru,29759,91
2022-02-05,ru,28873,98
2022-02-06,ru,30432,92
2022-02-07,ru,29115,93
2022-02-08,ru,27594,96
2022-02-09,ru,28454,94
2022-02-10,ru,28674,96
2022-02-11,ru,29719,95
2022-02-12,ru,31018,96
2022-02-13,ru,30051,95
2022-02-14,ru,28670,95
2022-02-15,ru,28621,94
2022-02-16,ru,28097,94
2022-02-17,ru,28296,93
2022-02-18,ru,27589,93
2022-02-19,ru,32677,92
2022-02-20,ru,30890,96
2022-02-21,ru,33153,87
2022-02-22,ru,35541,79
2022-02-23,ru,34903,88
2022-02-24,ru,38672,85
2022-02-25,ru,47577,76
2022-02-26,ru,43973,91
2022-02-27,ru,42978,87
2022-02-28,ru,40034,88
2022-03-01,ru,39774,89
2022-03-02,ru,41447,87
2022-03-03,ru,38525,95
2022-03-04,ru,39448,95
2022-03-05,ru,38297,100
2022-03-06,ru,42705,88
2022-03-07,ru,42077,90
2022-03-08,ru,39817,92
2022-03-09,ru,39815,87
2022-03-10,ru,38136,93
2022-03-11,ru,38966,89
2022-03-12,ru,45934,94
2022-03-13,ru,43203,94
2022-03-14,ru,44215,93
2022-03-15,ru,42164,94
2022-03-16,ru,40349,93
2022-03-17,ru,44196,78
2022-03-18,ru,42196,85
2022-03-19,ru,46847,90
2022-03-20,ru,47870,91
2022-03-21,ru,44772,87
2022-03-22,ru,46750,87
2022-03-23,ru,45830,83
2022-03-24,ru,46270,84
2022-03-25,ru,50654,83
2022-03-26,ru,44100,93
2022-03-27,ru,47947,88
2022-03-28,ru,47093,87
2022-03-29,ru,42824,90
2022-03-30,ru,41238,93
2022-03-31,ru,44504,93
2022-04-01,ru,45612,81
2022-04-02,ru,42813,90
2022-04-03,ru,43971,93
2022-04-04,ru,40881,93
2022-04-05,ru,46297,93
2022-04-06,ru,42080,93
2022-04-07,ru,37196,93
2022-04-08,ru,38554,89
2022-04-09,ru,34924,93
2022-04-10,ru,35664,93
2022-04-11,ru,33327,93
2022-04-12,ru,32731,93
2022-04-13,ru,34777,90
2022-04-14,ru,34760,90
2022-04-15,ru,34590,93
2022-04-16,ru,35918,93
2022-04-17,ru,35802,93
2022-04-18,ru,34586,94
2022-04-19,ru,34038,94
2022-04-20,ru,33709,94
2022-04-21,ru,35597,87
2022-04-22,ru,34807,94
2022-04-23,ru,34963,92
2022-04-24,ru,34904,92
2022-04-25,ru,34596,92
2022-04-26,ru,33958,93
2022-04-27,ru,33574,94
2022-04-28,ru,33783,92
2022-04-29,ru,34160,89
2022-04-30,ru,33994,92
2022-05-01,ru,33759,93
2022-05-02,ru,34065,93
2022-05-03,ru,35317,90
2022-05-04,ru,34230,90
2022-05-05,ru,34562,92
2022-05-06,ru,34678,85
2022-05-07,ru,32148,93
2022-05-08,ru,30377,91
2022-05-09,ru,34068,94
2022-05-10,ru,38248,86
2022-05-11,ru,35134,91
2022-05-12,ru,36599,83
2022-05-13,ru,34214,94
2022-05-14,ru,34450,95
2022-05-15,ru,34000,95
2022-05-16,ru,33753,94
2022-05-17,ru,33609,95
2022-05-18,ru,33941,93
2022-05-19,ru,32704,88
2022-05-20,ru,33653,87
2022-05-21,ru,35473,94
2022-05-22,ru,35968,94
2022-05-23,ru,35095,93
2022-05-24,ru,36885,83
2022-05-25,ru,34811,93
